id,opened,discussion,pullrequest,merged,closed,firstInsiderResponse,totalResponseByContributor,totalResponseByCollaborator,totalResponseByMembers,totalResponseByAuthor,totalResponseByOthers
49664,2023-03-31T19:42:25Z,2023-04-03T05:10:15Z,2023-03-31T19:42:25Z,,2023-04-03T05:10:20Z,2023-04-03T05:10:15Z,1,0,0,0,0
49665,2023-03-31T21:10:25Z,2023-03-31T21:19:00Z,2023-03-31T21:10:25Z,,2023-04-04T02:18:04Z,2023-04-03T22:01:01Z,2,0,0,1,1
49666,2023-04-01T01:43:29Z,2023-04-03T20:12:29Z,2023-04-01T01:43:29Z,,2023-04-04T05:13:53Z,2023-04-03T20:12:29Z,3,0,0,2,0
49667,2023-04-01T07:12:08Z,2023-04-03T19:29:53Z,,,2023-04-05T14:43:35Z,2023-04-03T19:29:53Z,1,0,1,1,0
49668,2023-04-01T07:57:47Z,2023-04-03T09:57:32Z,,,,,0,0,0,1,0
49669,2023-04-01T21:11:26Z,2023-04-03T16:03:23Z,2023-04-01T21:11:26Z,,2023-04-04T02:18:47Z,2023-04-03T16:03:37Z,2,0,0,0,1
49670,2023-04-02T01:32:36Z,2023-04-03T18:59:59Z,2023-04-02T01:32:36Z,,2023-04-03T19:01:53Z,2023-04-03T18:59:59Z,1,0,0,0,0
49671,2023-04-02T12:20:09Z,,2023-04-02T12:20:09Z,,,,0,0,0,0,0
49672,2023-04-02T19:03:38Z,,2023-04-02T19:03:38Z,,,,0,0,0,0,0
49673,2023-04-02T21:51:16Z,2023-04-04T02:17:06Z,2023-04-02T21:51:16Z,,2023-04-04T02:17:09Z,2023-04-04T02:17:06Z,1,0,0,0,0
49674,2023-04-02T23:35:31Z,2023-04-05T18:45:33Z,2023-04-02T23:35:31Z,,2023-04-05T18:45:33Z,2023-04-05T18:45:33Z,1,0,0,0,0
49675,2023-04-03T04:57:47Z,2023-04-04T02:11:50Z,2023-04-03T04:57:47Z,,2023-04-04T02:11:54Z,2023-04-04T02:11:50Z,1,0,0,0,0
49676,2023-04-03T06:08:54Z,,2023-04-03T06:08:54Z,,,,0,0,0,0,0
49677,2023-04-03T08:48:52Z,2023-04-03T22:01:20Z,2023-04-03T08:48:52Z,,2023-04-03T22:01:24Z,2023-04-03T22:01:20Z,1,0,0,0,0
49678,2023-04-03T15:04:46Z,2023-04-03T22:00:15Z,2023-04-03T15:04:46Z,,2023-04-03T22:00:19Z,2023-04-03T22:00:15Z,1,0,0,0,0
49679,2023-04-03T15:30:45Z,,,,,,0,0,0,0,0
49686,2023-04-03T17:35:37Z,2023-04-03T19:00:25Z,,,,2023-04-03T19:00:25Z,1,0,0,2,0
49687,2023-04-03T19:06:27Z,,2023-04-03T19:06:27Z,,,,0,0,0,0,0
49688,2023-04-03T20:23:46Z,2023-04-03T21:10:16Z,,,2023-04-03T21:32:15Z,2023-04-03T21:10:16Z,1,0,1,0,0
49689,2023-04-03T20:32:09Z,2023-04-03T20:33:14Z,2023-04-03T20:32:09Z,,2023-04-04T02:19:32Z,2023-04-03T20:33:14Z,4,0,0,1,0
49690,2023-04-03T20:37:07Z,,2023-04-03T20:37:07Z,,2023-04-03T20:37:21Z,,0,0,0,0,0
49691,2023-04-03T20:53:11Z,2023-04-04T17:10:27Z,2023-04-03T20:53:11Z,,2023-04-04T22:05:48Z,2023-04-04T17:10:27Z,2,0,0,1,0
49692,2023-04-03T21:26:13Z,2023-04-04T17:08:52Z,2023-04-03T21:26:13Z,,2023-04-04T17:08:52Z,2023-04-04T17:08:52Z,1,0,0,0,0
49693,2023-04-03T21:35:53Z,2023-04-03T21:57:40Z,2023-04-03T21:35:53Z,,2023-04-05T16:08:45Z,2023-04-03T21:57:40Z,4,0,0,3,0
49694,2023-04-03T23:32:13Z,2023-04-03T23:51:02Z,2023-04-03T23:32:13Z,,2023-04-04T20:18:25Z,2023-04-04T17:09:57Z,2,0,0,1,1
49695,2023-04-04T00:46:48Z,2023-04-04T00:51:52Z,2023-04-04T00:46:48Z,,,2023-04-04T00:51:52Z,2,0,0,2,0
49696,2023-04-04T05:07:21Z,2023-04-04T22:14:34Z,2023-04-04T05:07:21Z,,2023-04-04T22:14:38Z,2023-04-04T22:14:34Z,1,0,0,0,0
49697,2023-04-04T09:20:09Z,2023-04-04T20:16:27Z,2023-04-04T09:20:09Z,,,2023-04-04T20:16:27Z,0,0,1,0,0
49698,2023-04-04T09:33:58Z,2023-04-05T16:45:57Z,2023-04-04T09:33:58Z,,2023-04-05T16:46:02Z,2023-04-05T16:45:57Z,1,0,0,0,0
49699,2023-04-04T09:36:23Z,2023-04-04T11:14:29Z,2023-04-04T09:36:23Z,,2023-04-04T22:04:09Z,2023-04-04T11:14:29Z,3,0,0,1,0
49701,2023-04-04T13:52:52Z,2023-04-05T09:43:49Z,2023-04-04T13:52:52Z,,2023-04-05T17:48:47Z,2023-04-05T09:43:49Z,1,0,1,1,0
49702,2023-04-04T14:44:32Z,,2023-04-04T14:44:32Z,,,,0,0,0,0,0
49703,2023-04-04T17:06:33Z,2023-04-04T19:40:59Z,2023-04-04T17:06:33Z,,2023-04-04T22:04:56Z,2023-04-04T19:40:59Z,2,1,0,1,0
49704,2023-04-04T18:10:33Z,2023-04-04T22:00:42Z,2023-04-04T18:10:33Z,,2023-04-04T22:00:45Z,2023-04-04T22:00:42Z,1,0,0,0,0
49705,2023-04-04T18:20:08Z,2023-04-04T19:55:25Z,2023-04-04T18:20:08Z,,2023-04-04T20:17:59Z,2023-04-04T20:17:56Z,1,0,0,0,1
49706,2023-04-04T18:20:31Z,2023-04-04T18:26:06Z,2023-04-04T18:20:31Z,,2023-04-04T18:26:10Z,2023-04-04T18:26:06Z,1,0,0,1,0
49707,2023-04-04T19:23:18Z,2023-04-04T20:08:35Z,,,2023-04-05T13:11:28Z,2023-04-04T20:08:35Z,0,0,1,2,0
49708,2023-04-04T21:26:57Z,2023-04-04T21:59:17Z,2023-04-04T21:26:57Z,,2023-04-05T18:10:15Z,2023-04-05T18:01:25Z,2,0,1,1,1
49709,2023-04-04T23:08:58Z,2023-04-04T23:22:54Z,,,,2023-04-04T23:22:54Z,2,0,0,1,0
49710,2023-04-04T23:56:02Z,2023-04-05T08:05:26Z,2023-04-04T23:56:02Z,,2023-04-05T08:05:26Z,2023-04-05T08:05:26Z,0,0,1,0,0
49711,2023-04-05T01:23:25Z,2023-04-05T17:13:24Z,2023-04-05T01:23:25Z,,2023-04-05T17:13:27Z,2023-04-05T17:13:24Z,1,0,0,0,1
49712,2023-04-05T06:33:40Z,2023-04-05T06:43:59Z,,,2023-04-05T06:43:59Z,2023-04-05T06:43:59Z,0,0,1,0,0
49713,2023-04-05T07:01:59Z,,2023-04-05T07:01:59Z,,,,0,0,0,0,0
49714,2023-04-05T11:15:39Z,2023-04-05T17:54:31Z,2023-04-05T11:15:39Z,,2023-04-05T17:54:34Z,2023-04-05T17:54:31Z,1,0,0,0,0
49715,2023-04-05T13:44:10Z,2023-04-05T14:18:07Z,,,2023-04-05T14:18:07Z,2023-04-05T14:18:07Z,1,0,0,0,0
49716,2023-04-05T16:06:32Z,2023-04-05T16:32:54Z,2023-04-05T16:06:32Z,,2023-04-05T17:52:55Z,2023-04-05T16:32:54Z,2,0,0,0,0
49717,2023-04-05T17:14:45Z,,2023-04-05T17:14:45Z,,2023-04-05T17:38:38Z,,0,0,0,0,0
49718,2023-04-05T18:34:32Z,2023-04-05T18:39:04Z,2023-04-05T18:34:32Z,,2023-04-05T20:00:32Z,2023-04-05T18:39:04Z,7,0,0,4,0
49719,2023-04-05T20:52:20Z,2023-04-05T22:52:47Z,,,2023-04-05T22:52:48Z,2023-04-05T22:52:47Z,1,0,0,0,0
49720,2023-04-05T21:08:02Z,2023-04-06T09:42:11Z,,,2023-04-06T16:38:57Z,2023-04-06T09:42:11Z,1,0,0,1,0
49721,2023-04-05T22:44:06Z,2023-04-05T22:52:06Z,,,2023-04-05T22:52:07Z,2023-04-05T22:52:06Z,1,0,1,1,0
49722,2023-04-06T00:09:11Z,2023-04-06T17:59:29Z,2023-04-06T00:09:11Z,,2023-04-06T17:59:53Z,2023-04-06T17:59:29Z,1,0,0,1,0
49723,2023-04-06T01:41:25Z,2023-04-06T18:00:29Z,2023-04-06T01:41:25Z,,2023-04-06T18:00:33Z,2023-04-06T18:00:29Z,1,0,0,1,0
49724,2023-04-06T02:43:07Z,,2023-04-06T02:43:07Z,,2023-04-06T02:44:19Z,,0,0,0,0,0
49725,2023-04-06T02:46:16Z,,2023-04-06T02:46:16Z,,2023-04-06T02:46:22Z,,0,0,0,0,0
49726,2023-04-06T02:54:58Z,,2023-04-06T02:54:58Z,,2023-04-06T02:57:54Z,,0,0,0,0,0
49727,2023-04-06T02:59:40Z,,2023-04-06T02:59:40Z,,2023-04-06T03:00:53Z,,0,0,0,0,0
49728,2023-04-06T03:42:59Z,2023-04-06T18:01:02Z,2023-04-06T03:42:59Z,,2023-04-06T18:01:06Z,2023-04-06T18:01:02Z,1,0,0,1,0
49729,2023-04-06T07:11:22Z,2023-04-06T17:37:29Z,,,,2023-04-06T17:37:29Z,1,0,0,1,0
49730,2023-04-06T08:01:21Z,2023-04-06T16:55:43Z,,,,2023-04-06T16:55:43Z,3,0,0,1,0
49731,2023-04-06T12:21:37Z,2023-04-06T12:22:13Z,2023-04-06T12:21:37Z,,,2023-04-06T12:22:13Z,2,0,0,2,0
49732,2023-04-06T13:05:25Z,,,,2023-04-06T13:13:31Z,,0,0,0,0,0
49733,2023-04-06T14:20:18Z,,,,,,0,0,0,0,0
49734,2023-04-06T15:32:22Z,2023-04-06T17:43:15Z,,,,2023-04-06T17:43:15Z,1,0,0,0,0
49735,2023-04-06T16:48:00Z,2023-04-07T04:16:39Z,2023-04-06T16:48:00Z,,,2023-04-07T04:16:39Z,2,0,0,1,0
49736,2023-04-06T17:38:27Z,,2023-04-06T17:38:27Z,,2023-04-06T17:40:20Z,,0,0,0,0,0
49737,2023-04-06T17:41:55Z,2023-04-07T14:56:51Z,2023-04-06T17:41:55Z,,,2023-04-07T14:56:51Z,2,0,1,1,0
49738,2023-04-06T17:41:58Z,,2023-04-06T17:41:58Z,,2023-04-06T17:46:20Z,,0,0,0,0,0
49739,2023-04-06T18:01:17Z,,,,2023-04-06T18:56:06Z,,0,0,0,0,0
49740,2023-04-06T21:07:02Z,2023-04-06T21:11:31Z,,,2023-04-06T21:23:15Z,2023-04-06T21:23:15Z,1,0,0,1,0
49741,2023-04-06T21:55:18Z,,2023-04-06T21:55:18Z,,,,0,0,0,0,0
49742,2023-04-06T23:09:57Z,,2023-04-06T23:09:57Z,,,,0,0,0,0,0
49743,2023-04-07T00:59:57Z,2023-04-07T01:10:14Z,2023-04-07T00:59:57Z,,2023-04-07T16:42:12Z,2023-04-07T16:40:01Z,2,0,0,2,1
49744,2023-04-07T07:04:02Z,2023-04-07T09:58:02Z,2023-04-07T07:04:02Z,,,2023-04-07T09:58:02Z,1,0,0,0,0
49745,2023-04-07T10:22:30Z,2023-04-07T11:49:07Z,2023-04-07T10:22:30Z,,,2023-04-07T11:49:07Z,1,0,0,0,1
49746,2023-04-07T14:47:21Z,,2023-04-07T14:47:21Z,,,,0,0,0,0,0
49747,2023-04-07T15:11:43Z,,2023-04-07T15:11:43Z,,,,0,0,0,0,0
49748,2023-04-07T17:47:21Z,2023-04-07T18:04:47Z,,,2023-04-07T18:04:47Z,2023-04-07T18:04:47Z,0,0,1,0,0
49749,2023-04-07T20:40:19Z,2023-04-07T23:18:32Z,2023-04-07T20:40:19Z,,,2023-04-07T23:18:32Z,2,0,0,1,0
49750,2023-04-07T21:29:49Z,,2023-04-07T21:29:49Z,,,,0,0,0,0,0
49751,2023-04-08T01:20:15Z,2023-04-08T01:20:19Z,2023-04-08T01:20:15Z,,,,0,0,0,0,1
49752,2023-04-08T08:02:18Z,,2023-04-08T08:02:18Z,,,,0,0,0,0,0
49753,2023-04-08T20:53:41Z,2023-04-08T20:53:45Z,2023-04-08T20:53:41Z,,,2023-04-08T22:00:50Z,1,0,0,0,1
49754,2023-04-08T23:30:03Z,,2023-04-08T23:30:03Z,,,,0,0,0,0,0
49755,2023-04-09T12:32:35Z,2023-04-09T19:10:48Z,,,2023-04-09T19:10:48Z,2023-04-09T19:10:48Z,1,0,0,0,0
49756,2023-04-09T21:34:32Z,,2023-04-09T21:34:32Z,,,,0,0,0,0,0
49757,2023-04-09T23:08:40Z,,2023-04-09T23:08:40Z,,,,0,0,0,0,0
49548,2023-03-22T17:42:37Z,2023-03-31T18:24:25Z,2023-03-22T17:42:37Z,,2023-03-31T18:51:56Z,2023-03-31T18:24:25Z,3,0,0,1,0
49549,2023-03-22T19:55:24Z,2023-03-22T20:38:11Z,2023-03-22T19:55:24Z,,2023-03-23T20:55:44Z,2023-03-22T20:38:11Z,3,0,0,2,0
49550,2023-03-22T20:11:30Z,,2023-03-22T20:11:30Z,,2023-03-22T20:15:54Z,,0,0,0,0,0
49551,2023-03-22T20:17:51Z,,2023-03-22T20:17:51Z,,2023-03-22T20:22:22Z,,0,0,0,0,0
49552,2023-03-22T20:27:58Z,,2023-03-22T20:27:58Z,,2023-03-22T20:28:35Z,,0,0,0,0,0
49553,2023-03-22T21:07:00Z,2023-03-27T22:45:48Z,2023-03-22T21:07:00Z,,2023-03-27T22:45:52Z,2023-03-27T22:45:48Z,1,0,0,0,0
49554,2023-03-22T21:28:13Z,2023-03-22T21:34:27Z,2023-03-22T21:28:13Z,,2023-03-22T21:34:31Z,2023-03-22T21:34:27Z,1,0,0,1,0
49555,2023-03-22T22:58:06Z,2023-03-22T23:01:22Z,2023-03-22T22:58:06Z,,2023-03-22T23:01:25Z,2023-03-22T23:01:22Z,1,0,0,1,0
49556,2023-03-22T23:08:54Z,2023-03-28T20:35:04Z,2023-03-22T23:08:54Z,,2023-03-28T19:35:47Z,2023-03-28T20:35:04Z,1,0,1,0,0
49557,2023-03-23T00:00:42Z,2023-03-31T17:03:40Z,2023-03-23T00:00:42Z,,2023-03-31T18:56:16Z,2023-03-31T18:07:32Z,3,0,0,1,1
49558,2023-03-23T04:18:05Z,2023-03-23T12:11:18Z,,,2023-03-24T17:41:20Z,2023-03-23T17:35:53Z,1,0,0,2,0
49559,2023-03-23T06:13:42Z,2023-03-23T09:32:12Z,2023-03-23T06:13:42Z,,2023-03-23T15:18:51Z,2023-03-23T09:32:12Z,2,0,0,1,1
49560,2023-03-23T07:12:17Z,2023-03-23T07:12:21Z,2023-03-23T07:12:17Z,,2023-03-28T17:14:52Z,2023-03-23T07:14:41Z,2,0,1,1,1
49561,2023-03-23T09:22:33Z,2023-03-23T09:59:43Z,2023-03-23T09:22:33Z,,2023-03-30T23:10:11Z,2023-03-29T08:17:18Z,1,0,3,3,1
49563,2023-03-23T11:32:09Z,2023-03-23T15:49:25Z,2023-03-23T11:32:09Z,,2023-03-29T17:18:08Z,2023-03-23T15:49:25Z,3,0,0,1,0
49564,2023-03-23T11:58:16Z,,,,,,0,0,0,0,0
49565,2023-03-23T12:33:33Z,2023-03-23T12:33:38Z,2023-03-23T12:33:33Z,,2023-03-23T18:44:11Z,2023-03-23T18:44:07Z,1,0,0,0,1
49566,2023-03-23T12:52:30Z,2023-03-23T13:25:41Z,,,,,0,0,0,1,0
49567,2023-03-23T12:59:57Z,2023-03-23T14:37:41Z,,,2023-04-01T00:04:11Z,2023-03-23T14:37:41Z,1,0,0,0,0
49568,2023-03-23T13:18:14Z,2023-03-23T13:18:19Z,2023-03-23T13:18:14Z,,,,0,0,0,0,1
49569,2023-03-23T15:04:00Z,,2023-03-23T15:04:00Z,,,,0,0,0,0,0
49570,2023-03-23T15:15:53Z,2023-03-27T14:01:55Z,,,,2023-03-27T14:01:55Z,1,0,0,0,0
49571,2023-03-23T17:26:19Z,2023-03-24T15:27:40Z,2023-03-23T17:26:19Z,,2023-03-24T17:41:19Z,2023-03-24T15:27:40Z,2,0,0,2,0
49572,2023-03-23T18:27:04Z,2023-03-31T17:57:39Z,2023-03-23T18:27:04Z,,2023-04-01T00:04:10Z,2023-03-31T18:58:41Z,3,0,0,1,1
49573,2023-03-23T22:35:10Z,2023-03-24T06:45:01Z,,,2023-03-24T06:45:01Z,2023-03-24T06:45:01Z,0,0,1,0,0
49575,2023-03-24T00:07:19Z,,2023-03-24T00:07:19Z,,,,0,0,0,0,0
49576,2023-03-24T01:13:08Z,2023-03-24T01:15:47Z,2023-03-24T01:13:08Z,,2023-03-28T23:19:37Z,2023-03-24T01:15:47Z,6,0,0,5,0
49577,2023-03-24T06:05:47Z,2023-03-24T17:27:38Z,2023-03-24T06:05:47Z,,2023-03-24T17:27:42Z,2023-03-24T17:27:38Z,1,0,0,0,0
49578,2023-03-24T06:54:52Z,,2023-03-24T06:54:52Z,,,,0,0,0,0,0
49579,2023-03-24T08:21:34Z,,2023-03-24T08:21:34Z,,,,0,0,0,0,0
49580,2023-03-24T12:21:40Z,2023-03-24T12:22:28Z,2023-03-24T12:21:40Z,,2023-03-24T12:54:44Z,2023-03-24T12:22:28Z,1,0,1,1,0
49581,2023-03-24T13:05:01Z,2023-03-24T13:46:45Z,,,2023-03-24T13:46:45Z,2023-03-24T13:46:45Z,0,0,1,0,0
49582,2023-03-24T15:00:45Z,2023-03-24T16:18:23Z,,,,2023-03-24T16:18:23Z,1,0,1,0,0
49583,2023-03-24T15:42:35Z,2023-03-24T15:46:40Z,2023-03-24T15:42:35Z,,2023-03-24T17:35:37Z,2023-03-24T15:46:40Z,1,0,1,1,0
49584,2023-03-24T16:50:48Z,2023-03-24T17:08:14Z,,,2023-03-24T17:08:14Z,2023-03-24T17:08:14Z,1,0,0,0,0
49585,2023-03-24T17:25:29Z,2023-03-24T20:24:29Z,,,2023-03-24T20:24:29Z,2023-03-24T20:24:29Z,0,0,1,0,0
49586,2023-03-24T18:33:19Z,2023-03-24T20:21:52Z,,,2023-03-24T20:24:31Z,2023-03-24T20:21:52Z,0,0,3,2,1
49587,2023-03-24T18:40:38Z,2023-03-27T02:24:53Z,2023-03-24T18:40:38Z,,,2023-03-27T02:24:53Z,1,0,0,1,0
49588,2023-03-25T01:45:00Z,2023-03-25T09:46:33Z,,,2023-03-28T10:54:40Z,2023-03-25T09:46:33Z,0,0,2,0,0
49589,2023-03-25T02:25:02Z,,2023-03-25T02:25:02Z,,,,0,0,0,0,0
49590,2023-03-25T02:50:21Z,2023-03-27T01:42:55Z,2023-03-25T02:50:21Z,,2023-03-27T19:53:18Z,2023-03-27T01:42:55Z,3,0,0,2,0
49591,2023-03-25T09:29:02Z,2023-03-25T09:54:53Z,,,,2023-03-25T09:54:53Z,2,0,0,1,0
49592,2023-03-25T14:32:18Z,2023-03-27T15:43:08Z,2023-03-25T14:32:18Z,,2023-03-27T15:43:12Z,2023-03-27T15:43:08Z,1,0,0,0,0
49593,2023-03-25T19:07:10Z,2023-04-05T14:55:33Z,,,2023-04-05T14:55:33Z,2023-04-05T14:55:33Z,0,0,1,0,0
49594,2023-03-25T22:10:42Z,2023-03-27T12:33:40Z,2023-03-25T22:10:42Z,,,2023-03-27T12:33:40Z,3,0,0,1,0
49595,2023-03-26T05:47:01Z,2023-03-29T19:36:18Z,2023-03-26T05:47:01Z,,,2023-03-29T19:36:18Z,1,0,0,0,0
49596,2023-03-26T07:17:57Z,,2023-03-26T07:17:57Z,,,,0,0,0,0,0
49597,2023-03-26T13:35:23Z,,2023-03-26T13:35:23Z,,,,0,0,0,0,0
49598,2023-03-26T13:58:09Z,2023-03-27T19:57:22Z,2023-03-26T13:58:09Z,,2023-04-04T22:13:07Z,2023-03-27T19:57:22Z,4,0,0,1,0
49599,2023-03-26T14:33:28Z,2023-03-28T02:01:53Z,2023-03-26T14:33:28Z,,2023-03-28T17:12:43Z,2023-03-28T02:01:53Z,4,0,0,0,0
49600,2023-03-26T21:23:07Z,,2023-03-26T21:23:07Z,,2023-03-27T02:10:34Z,,0,0,0,0,0
49601,2023-03-27T04:55:10Z,2023-03-27T04:57:50Z,2023-03-27T04:55:10Z,,,,0,0,0,2,0
49602,2023-03-27T10:35:59Z,2023-03-27T11:29:39Z,,,2023-03-27T11:29:39Z,2023-03-27T11:29:39Z,0,0,1,0,0
49603,2023-03-27T13:25:36Z,2023-03-27T14:08:12Z,2023-03-27T13:25:36Z,,2023-03-28T18:42:06Z,2023-03-27T14:08:12Z,2,0,0,1,0
49604,2023-03-27T14:28:23Z,,,,2023-03-27T14:42:31Z,,0,0,0,0,0
49605,2023-03-27T15:33:45Z,2023-03-27T19:45:55Z,2023-03-27T15:33:45Z,,2023-03-27T19:45:59Z,2023-03-27T19:45:55Z,1,0,0,0,0
49606,2023-03-27T18:42:54Z,2023-03-28T01:41:03Z,2023-03-27T18:42:54Z,,2023-03-28T17:16:38Z,2023-03-28T01:41:03Z,4,0,0,0,0
49607,2023-03-28T01:48:34Z,2023-03-28T19:39:12Z,2023-03-28T01:48:34Z,,2023-03-28T19:39:16Z,2023-03-28T19:39:12Z,1,0,0,1,0
49608,2023-03-28T05:06:50Z,2023-03-31T18:22:53Z,2023-03-28T05:06:50Z,,2023-03-31T18:55:44Z,2023-03-31T18:22:53Z,2,0,0,0,0
49609,2023-03-28T05:06:55Z,2023-03-31T18:23:48Z,2023-03-28T05:06:55Z,,2023-03-31T18:49:54Z,2023-03-31T18:23:48Z,2,0,0,0,0
49610,2023-03-28T06:20:57Z,2023-03-28T19:51:06Z,,,,2023-03-28T19:51:06Z,2,0,0,1,0
49611,2023-03-28T12:46:11Z,,2023-03-28T12:46:11Z,,,,0,0,0,0,0
49612,2023-03-28T14:07:28Z,2023-04-05T14:42:03Z,,,2023-04-05T14:42:03Z,2023-04-05T14:42:03Z,0,0,1,0,0
49613,2023-03-28T18:29:12Z,2023-03-28T18:29:19Z,2023-03-28T18:29:12Z,,2023-04-05T12:45:55Z,2023-04-05T12:45:55Z,0,0,1,0,1
49614,2023-03-28T22:55:23Z,2023-03-29T18:35:39Z,2023-03-28T22:55:23Z,,2023-03-30T18:43:42Z,2023-03-29T18:35:39Z,3,0,0,2,0
49615,2023-03-28T23:12:46Z,2023-03-28T23:23:18Z,2023-03-28T23:12:46Z,,2023-03-28T23:57:42Z,2023-03-28T23:23:18Z,2,0,0,0,0
49616,2023-03-28T23:38:17Z,2023-03-28T23:44:15Z,,,2023-03-29T01:34:32Z,2023-03-29T01:34:32Z,0,0,1,1,0
49617,2023-03-29T01:24:41Z,2023-03-30T16:42:07Z,2023-03-29T01:24:41Z,,2023-03-30T16:42:11Z,2023-03-30T16:42:07Z,1,0,0,0,0
49618,2023-03-29T02:01:13Z,,,,,,0,0,0,0,0
49619,2023-03-29T02:02:46Z,2023-03-29T02:48:16Z,2023-03-29T02:02:46Z,,2023-03-29T17:19:02Z,2023-03-29T02:48:16Z,3,0,0,2,1
49620,2023-03-29T02:12:38Z,,2023-03-29T02:12:38Z,,,,0,0,0,0,0
49621,2023-03-29T04:19:07Z,2023-03-29T04:56:48Z,,,2023-03-30T16:44:38Z,,0,0,0,1,0
49622,2023-03-29T07:59:26Z,2023-03-29T10:43:48Z,,,2023-03-31T01:19:28Z,2023-03-29T10:43:48Z,1,0,0,1,0
49623,2023-03-29T08:14:18Z,,,,2023-03-30T16:39:47Z,,0,0,0,0,0
49624,2023-03-29T08:28:27Z,2023-03-29T16:26:56Z,2023-03-29T08:28:27Z,,2023-03-29T16:26:59Z,2023-03-29T16:26:56Z,1,0,0,0,0
49625,2023-03-29T09:49:12Z,2023-03-29T15:30:57Z,2023-03-29T09:49:12Z,,2023-03-29T17:40:23Z,2023-03-29T17:40:19Z,1,0,0,0,1
49626,2023-03-29T10:53:08Z,2023-03-29T11:12:53Z,,,2023-03-29T11:12:53Z,2023-03-29T11:12:53Z,0,0,1,0,1
49627,2023-03-29T11:05:25Z,2023-03-29T11:05:29Z,2023-03-29T11:05:25Z,,2023-03-29T15:47:23Z,2023-03-29T15:47:23Z,1,0,0,0,1
49628,2023-03-29T11:40:35Z,,2023-03-29T11:40:35Z,,,,0,0,0,0,0
49629,2023-03-29T13:33:12Z,2023-03-29T18:20:48Z,2023-03-29T13:33:12Z,,2023-03-30T16:39:46Z,2023-03-29T18:20:48Z,2,0,0,0,0
49630,2023-03-29T14:11:53Z,2023-04-04T18:43:24Z,2023-03-29T14:11:53Z,,2023-04-05T18:43:11Z,2023-04-04T18:43:24Z,4,0,0,1,0
49631,2023-03-29T16:16:04Z,2023-03-30T19:15:59Z,2023-03-29T16:16:04Z,,2023-03-30T23:09:17Z,2023-03-30T19:15:59Z,2,0,0,1,0
49632,2023-03-29T16:25:44Z,2023-03-29T16:30:25Z,,,2023-03-29T16:30:25Z,2023-03-29T16:30:25Z,0,0,1,1,0
49633,2023-03-29T17:28:28Z,2023-03-29T20:07:00Z,2023-03-29T17:28:28Z,,2023-03-30T23:11:00Z,2023-03-29T20:12:38Z,3,0,1,1,4
49634,2023-03-29T17:36:54Z,2023-03-29T18:37:31Z,2023-03-29T17:36:54Z,,2023-03-29T18:37:35Z,2023-03-29T18:37:31Z,1,0,0,1,0
49635,2023-03-29T19:28:36Z,,2023-03-29T19:28:36Z,,2023-03-29T19:37:49Z,,0,0,0,0,0
49636,2023-03-29T19:40:07Z,,2023-03-29T19:40:07Z,,2023-03-29T19:51:00Z,,0,0,0,0,0
