id,opened,discussion,pullrequest,merged,closed,firstInsiderResponse,totalResponseByContributor,totalResponseByCollaborator,totalResponseByMembers,totalResponseByAuthor,totalResponseByOthers
26504,2023-03-29T12:21:04Z,2023-03-29T12:25:30Z,2023-03-29T12:21:04Z,,,,0,0,0,0,1
26505,2023-03-29T14:34:20Z,,,,2023-03-29T14:37:37Z,,0,0,0,0,0
26506,2023-03-29T17:47:18Z,2023-03-29T17:52:22Z,2023-03-29T17:47:18Z,,,2023-03-29T23:35:13Z,1,0,0,1,1
26507,2023-03-29T19:38:34Z,2023-03-29T19:42:39Z,2023-03-29T19:38:34Z,,2023-03-30T03:39:03Z,2023-03-30T03:31:20Z,0,3,0,2,1
26508,2023-03-29T20:41:25Z,2023-03-29T20:45:37Z,2023-03-29T20:41:25Z,,2023-03-29T20:48:03Z,,0,0,0,0,1
26509,2023-03-29T20:51:51Z,2023-03-29T20:56:33Z,2023-03-29T20:51:51Z,,2023-03-29T21:02:16Z,,0,0,0,0,1
26510,2023-03-29T21:25:37Z,2023-03-29T21:27:53Z,2023-03-29T21:25:36Z,,2023-03-30T14:47:23Z,2023-03-29T21:27:53Z,0,1,0,0,1
26511,2023-03-29T22:42:34Z,2023-03-29T22:46:32Z,2023-03-29T22:42:34Z,,2023-03-30T18:10:20Z,2023-03-30T18:10:09Z,0,1,0,1,1
26512,2023-03-29T23:00:09Z,2023-03-29T23:09:03Z,2023-03-29T23:00:09Z,,2023-03-31T17:04:09Z,2023-03-30T03:33:50Z,0,2,0,2,1
26513,2023-03-30T02:32:38Z,2023-03-30T02:36:24Z,2023-03-30T02:32:38Z,,2023-03-30T18:30:57Z,,0,0,0,0,1
26514,2023-03-30T03:21:23Z,2023-03-30T03:25:17Z,2023-03-30T03:21:23Z,,2023-03-30T03:39:24Z,,0,0,0,0,1
26515,2023-03-30T05:24:54Z,2023-03-30T23:31:06Z,,,,2023-03-30T23:31:06Z,4,0,0,2,0
26516,2023-03-30T13:03:49Z,2023-03-30T13:09:01Z,2023-03-30T13:03:49Z,,2023-04-04T13:43:35Z,,0,0,0,0,1
26517,2023-03-30T13:27:43Z,2023-03-31T14:05:21Z,,,,,0,0,0,1,1
26518,2023-03-30T15:38:53Z,,,,,,0,0,0,0,0
26519,2023-03-30T15:40:30Z,2023-03-30T15:44:19Z,2023-03-30T15:40:30Z,,2023-03-30T20:06:56Z,,0,0,0,0,1
26520,2023-03-30T17:23:46Z,2023-04-01T05:26:50Z,,,,,0,0,0,0,2
26521,2023-03-30T17:29:22Z,2023-03-30T17:33:17Z,2023-03-30T17:29:22Z,,2023-03-31T14:25:59Z,,0,0,0,0,1
26522,2023-03-30T17:35:51Z,2023-03-31T13:59:11Z,2023-03-30T17:35:51Z,,2023-04-03T10:32:18Z,,0,0,0,0,1
26523,2023-03-30T19:28:20Z,2023-03-30T19:31:51Z,2023-03-30T19:28:20Z,,2023-03-30T20:31:15Z,2023-03-30T19:31:51Z,1,1,0,0,1
26524,2023-03-30T20:43:03Z,2023-03-30T20:46:42Z,2023-03-30T20:43:03Z,,2023-03-30T22:38:50Z,,0,0,0,0,1
26525,2023-03-31T02:59:00Z,2023-03-31T03:26:09Z,,,2023-03-31T03:27:30Z,2023-03-31T03:26:09Z,0,0,3,1,0
26526,2023-03-31T03:41:23Z,2023-03-31T03:46:26Z,2023-03-31T03:41:23Z,,2023-04-03T16:34:53Z,,0,0,0,0,1
26527,2023-03-31T04:48:11Z,2023-03-31T04:48:15Z,2023-03-31T04:48:11Z,,2023-03-31T04:48:45Z,,0,0,0,0,2
26528,2023-03-31T11:40:17Z,2023-03-31T11:44:49Z,2023-03-31T11:40:17Z,,2023-04-04T14:08:14Z,2023-03-31T11:47:23Z,0,1,3,2,1
26529,2023-03-31T14:35:35Z,2023-03-31T14:35:40Z,2023-03-31T14:35:35Z,,,,0,0,0,0,2
26530,2023-03-31T16:19:32Z,2023-03-31T17:12:30Z,,,2023-03-31T17:12:30Z,2023-03-31T17:12:30Z,0,0,1,0,1
26531,2023-03-31T18:33:08Z,2023-03-31T18:37:03Z,2023-03-31T18:33:08Z,,2023-03-31T19:35:48Z,2023-03-31T19:35:43Z,0,1,0,1,1
26532,2023-03-31T19:24:59Z,2023-03-31T19:28:34Z,2023-03-31T19:24:59Z,,2023-03-31T19:45:46Z,2023-03-31T19:33:06Z,0,1,0,1,1
26533,2023-04-01T01:56:23Z,2023-04-02T13:23:09Z,2023-04-01T01:56:23Z,,,2023-04-02T13:23:09Z,0,0,1,0,0
26534,2023-04-01T12:21:23Z,2023-04-01T12:26:15Z,2023-04-01T12:21:23Z,,2023-04-04T16:37:14Z,2023-04-04T16:37:06Z,0,0,1,0,1
26535,2023-04-02T10:50:58Z,2023-04-02T16:19:18Z,2023-04-02T10:50:58Z,,2023-04-02T22:48:29Z,,0,0,0,0,1
26536,2023-04-02T23:29:07Z,,,,,,0,0,0,0,0
26537,2023-04-03T08:21:21Z,2023-04-06T14:11:51Z,,,,2023-04-06T14:11:51Z,2,0,0,2,0
26538,2023-04-03T13:09:13Z,2023-04-04T06:43:00Z,,,,2023-04-06T20:05:45Z,0,0,1,14,18
26539,2023-04-03T13:47:54Z,2023-04-03T13:52:34Z,2023-04-03T13:47:54Z,,,2023-04-05T15:10:29Z,2,0,0,1,1
26540,2023-04-03T15:32:27Z,2023-04-03T15:36:48Z,2023-04-03T15:32:27Z,,2023-04-03T15:38:12Z,2023-04-03T15:38:12Z,0,0,1,1,1
26541,2023-04-03T15:40:55Z,2023-04-03T15:41:00Z,2023-04-03T15:40:55Z,,2023-04-03T16:07:52Z,,0,0,0,0,2
26542,2023-04-03T17:12:55Z,2023-04-03T17:41:45Z,2023-04-03T17:12:55Z,,2023-04-04T15:05:34Z,2023-04-03T17:41:45Z,2,2,0,2,0
26543,2023-04-03T18:12:11Z,2023-04-04T20:50:01Z,2023-04-03T18:12:11Z,,,,0,0,0,1,2
26544,2023-04-03T18:39:55Z,2023-04-03T19:56:17Z,,,2023-04-03T19:56:17Z,2023-04-03T19:56:17Z,0,1,0,1,0
26545,2023-04-03T18:54:37Z,2023-04-03T18:59:03Z,2023-04-03T18:54:37Z,,,,0,0,0,0,1
26546,2023-04-04T03:14:07Z,2023-04-04T03:18:35Z,2023-04-04T03:14:07Z,,2023-04-04T15:05:57Z,2023-04-04T15:05:48Z,0,1,0,1,1
26547,2023-04-04T04:32:25Z,2023-04-07T23:36:29Z,,,,,0,0,0,0,1
26548,2023-04-04T12:09:08Z,2023-04-09T05:29:11Z,,,,,0,0,0,0,3
26549,2023-04-04T13:38:28Z,2023-04-04T13:43:28Z,2023-04-04T13:38:28Z,,,,0,0,0,0,1
26550,2023-04-04T13:54:46Z,,,,,,0,0,0,0,0
26551,2023-04-04T17:21:17Z,2023-04-04T17:25:15Z,2023-04-04T17:21:17Z,,2023-04-04T22:06:10Z,,0,0,0,0,1
26552,2023-04-04T18:54:37Z,2023-04-04T18:58:25Z,2023-04-04T18:54:37Z,,,,0,0,0,0,1
26553,2023-04-04T22:31:37Z,,2023-04-04T22:31:37Z,,2023-04-05T03:08:33Z,,0,0,0,0,0
26554,2023-04-05T10:21:26Z,2023-04-05T10:25:18Z,2023-04-05T10:21:26Z,,,,0,0,0,0,1
26555,2023-04-05T13:56:38Z,2023-04-05T13:56:44Z,2023-04-05T13:56:38Z,,,,0,0,0,0,3
26556,2023-04-05T14:03:28Z,2023-04-05T14:03:43Z,,,2023-04-05T14:03:44Z,,0,0,0,0,1
26557,2023-04-05T17:29:53Z,2023-04-05T17:35:52Z,2023-04-05T17:29:53Z,,,,0,0,0,0,1
26558,2023-04-05T19:51:43Z,,2023-04-05T19:51:43Z,,2023-04-05T23:38:20Z,,0,0,0,0,0
26559,2023-04-05T22:15:24Z,2023-04-06T10:09:32Z,2023-04-05T22:15:24Z,,2023-04-06T14:02:24Z,2023-04-06T10:09:32Z,2,0,0,1,0
26560,2023-04-05T23:11:37Z,2023-04-05T23:54:00Z,2023-04-05T23:11:37Z,,2023-04-06T18:13:51Z,2023-04-05T23:54:00Z,0,1,1,0,0
26561,2023-04-06T01:23:25Z,2023-04-06T01:28:00Z,2023-04-06T01:23:25Z,,2023-04-06T16:08:06Z,2023-04-06T13:14:59Z,0,0,1,0,1
26562,2023-04-06T05:30:59Z,2023-04-06T05:31:04Z,2023-04-06T05:30:59Z,,,,0,0,0,1,3
26563,2023-04-06T21:25:38Z,2023-04-06T23:22:05Z,2023-04-06T21:25:38Z,,2023-04-07T07:35:36Z,2023-04-06T23:22:05Z,2,0,0,1,0
26564,2023-04-07T08:51:39Z,2023-04-07T15:22:55Z,,,2023-04-09T08:05:16Z,2023-04-09T08:05:16Z,0,1,0,0,2
26565,2023-04-07T09:03:43Z,2023-04-07T09:03:56Z,,,2023-04-07T09:03:58Z,,0,0,0,0,1
26566,2023-04-07T12:24:53Z,2023-04-07T12:24:57Z,2023-04-07T12:24:53Z,,,,0,0,0,1,4
26567,2023-04-07T18:51:17Z,,2023-04-07T18:51:17Z,,,,0,0,0,0,0
26568,2023-04-07T19:23:47Z,2023-04-07T19:27:50Z,2023-04-07T19:23:47Z,,2023-04-07T21:14:09Z,,0,0,0,0,1
26569,2023-04-07T19:24:49Z,2023-04-07T19:28:43Z,2023-04-07T19:24:49Z,,,,0,0,0,0,1
26570,2023-04-07T19:25:36Z,2023-04-07T19:29:18Z,2023-04-07T19:25:36Z,,,,0,0,0,0,1
26571,2023-04-07T21:30:00Z,2023-04-07T21:34:08Z,2023-04-07T21:30:00Z,,,2023-04-08T04:15:09Z,0,1,0,0,1
26572,2023-04-07T21:51:42Z,2023-04-08T01:08:04Z,2023-04-07T21:51:42Z,,,2023-04-08T01:08:04Z,1,0,0,0,0
26573,2023-04-08T04:26:27Z,2023-04-08T04:31:01Z,2023-04-08T04:26:27Z,,2023-04-09T22:06:16Z,2023-04-08T17:23:56Z,0,5,0,4,1
26574,2023-04-08T12:48:41Z,,,,2023-04-09T08:08:49Z,,0,0,0,0,0
26575,2023-04-08T12:49:08Z,,,,2023-04-09T08:08:44Z,,0,0,0,0,0
26576,2023-04-08T16:18:31Z,2023-04-08T16:23:21Z,2023-04-08T16:18:31Z,,,,0,0,0,0,1
26577,2023-04-09T02:35:11Z,2023-04-09T05:26:41Z,,,2023-04-09T08:05:52Z,2023-04-09T08:05:52Z,0,1,0,0,1
26578,2023-04-09T06:41:33Z,,,,2023-04-09T06:42:05Z,,0,0,0,0,0
26579,2023-04-09T09:56:10Z,2023-04-09T09:56:16Z,2023-04-09T09:56:10Z,,,,0,0,0,0,3
26580,2023-04-10T00:39:45Z,2023-04-10T00:43:15Z,2023-04-10T00:39:45Z,,,,0,0,0,0,1
26379,2023-03-13T15:55:50Z,2023-03-13T15:57:29Z,2023-03-13T15:55:50Z,,2023-03-13T18:28:17Z,2023-03-13T15:57:29Z,0,1,0,1,1
26380,2023-03-13T16:39:37Z,2023-03-13T16:44:17Z,2023-03-13T16:39:37Z,,2023-03-21T14:24:56Z,,0,0,0,0,1
26381,2023-03-13T20:16:40Z,2023-03-15T08:20:58Z,,,,2023-03-15T08:20:58Z,1,0,1,1,1
26382,2023-03-13T22:24:44Z,2023-03-13T22:43:35Z,,,2023-03-13T23:07:28Z,2023-03-13T22:43:35Z,0,0,1,1,0
26383,2023-03-13T22:34:34Z,2023-03-13T22:39:51Z,2023-03-13T22:34:34Z,,2023-03-13T22:43:38Z,2023-03-13T22:42:44Z,0,0,1,0,1
26384,2023-03-14T03:24:05Z,,,,2023-04-03T03:16:00Z,,0,0,0,0,0
26385,2023-03-14T14:03:16Z,2023-03-16T16:52:07Z,,,2023-04-02T22:48:30Z,2023-03-16T16:52:07Z,3,1,0,3,0
26386,2023-03-14T19:55:26Z,2023-03-14T19:55:43Z,,,2023-03-14T19:55:44Z,,0,0,0,0,1
26387,2023-03-14T22:42:21Z,2023-03-15T01:34:50Z,2023-03-14T22:42:21Z,,2023-03-14T23:52:57Z,,0,0,0,0,1
26388,2023-03-15T00:07:35Z,2023-03-15T00:13:12Z,2023-03-15T00:07:35Z,,2023-03-15T01:00:22Z,2023-03-15T00:52:41Z,0,1,0,0,1
26389,2023-03-15T00:38:54Z,2023-03-15T00:51:24Z,2023-03-15T00:38:54Z,,2023-03-15T01:40:44Z,2023-03-15T01:06:06Z,0,2,0,1,1
26390,2023-03-15T01:00:38Z,2023-03-15T01:10:13Z,2023-03-15T01:00:38Z,,2023-03-15T03:27:04Z,,0,0,0,0,1
26391,2023-03-15T03:38:18Z,2023-03-15T03:43:51Z,2023-03-15T03:38:18Z,,2023-03-17T02:39:17Z,2023-03-17T02:20:54Z,0,1,0,1,1
26392,2023-03-15T04:43:45Z,2023-03-15T04:48:04Z,2023-03-15T04:43:45Z,,2023-03-15T06:04:02Z,2023-03-15T06:04:05Z,1,0,0,1,1
26393,2023-03-15T06:06:10Z,2023-03-25T20:34:07Z,,,,2023-03-25T20:34:07Z,0,1,0,1,0
26394,2023-03-15T10:23:42Z,2023-03-15T10:28:29Z,2023-03-15T10:23:42Z,,2023-03-15T10:30:41Z,,0,0,0,0,1
26395,2023-03-15T15:01:59Z,2023-03-15T15:09:05Z,2023-03-15T15:01:59Z,,2023-03-22T17:33:48Z,2023-03-15T16:29:34Z,0,0,1,0,4
26396,2023-03-15T16:01:02Z,2023-04-09T05:38:42Z,,,,,0,0,0,0,1
26397,2023-03-15T16:49:52Z,2023-03-15T16:57:50Z,2023-03-15T16:49:52Z,,2023-03-15T20:13:55Z,2023-03-15T18:51:34Z,0,0,1,1,1
26398,2023-03-15T17:26:12Z,2023-03-15T18:09:53Z,2023-03-15T17:26:12Z,,2023-03-17T22:05:11Z,2023-04-08T18:26:53Z,0,1,0,0,2
26399,2023-03-15T19:30:23Z,,2023-03-15T19:30:23Z,,2023-03-16T19:27:16Z,,0,0,0,0,0
26400,2023-03-15T20:22:01Z,2023-03-15T20:26:20Z,2023-03-15T20:22:01Z,,2023-03-16T15:39:35Z,2023-03-15T22:37:29Z,1,0,5,0,1
26401,2023-03-15T22:46:08Z,2023-03-15T22:50:12Z,2023-03-15T22:46:08Z,,2023-03-16T01:01:08Z,,0,0,0,0,1
26402,2023-03-16T00:18:53Z,2023-03-16T00:23:45Z,2023-03-16T00:18:53Z,,2023-03-16T02:09:50Z,,0,0,0,0,1
26403,2023-03-16T00:57:36Z,,,,2023-03-16T17:25:45Z,,0,0,0,0,0
26404,2023-03-16T01:11:32Z,,,,2023-03-16T17:26:05Z,,0,0,0,0,0
26405,2023-03-16T02:06:34Z,,2023-03-16T02:06:34Z,,2023-03-16T12:14:24Z,,0,0,0,0,0
26406,2023-03-16T02:32:18Z,,,,2023-03-16T17:25:56Z,,0,0,0,0,0
26407,2023-03-16T05:32:25Z,2023-03-16T11:21:29Z,,,,,0,0,0,0,4
26408,2023-03-16T12:34:09Z,2023-03-16T13:02:25Z,2023-03-16T12:34:09Z,,2023-03-17T11:27:50Z,2023-03-16T13:02:25Z,4,0,2,4,1
26409,2023-03-16T15:53:26Z,,,,,,0,0,0,0,0
26410,2023-03-16T15:53:39Z,2023-03-16T19:57:00Z,2023-03-16T15:53:39Z,,2023-03-17T16:09:36Z,,0,0,0,0,1
26411,2023-03-16T15:53:41Z,2023-03-16T15:54:01Z,,,2023-03-16T17:26:11Z,,0,0,0,1,0
26412,2023-03-16T17:15:48Z,2023-03-16T17:19:51Z,2023-03-16T17:15:48Z,,2023-03-16T17:57:53Z,2023-03-16T17:19:51Z,0,0,2,1,1
26413,2023-03-16T17:56:28Z,,2023-03-16T17:56:28Z,,2023-03-16T18:01:21Z,,0,0,0,0,0
26414,2023-03-16T20:30:52Z,2023-03-16T22:37:44Z,,,,2023-03-16T22:37:44Z,0,0,1,2,0
26415,2023-03-17T03:01:35Z,2023-03-17T03:06:38Z,2023-03-17T03:01:35Z,,2023-03-21T02:51:42Z,,0,0,0,0,1
26416,2023-03-17T16:47:13Z,2023-03-20T11:19:04Z,2023-03-17T16:47:13Z,,2023-03-20T13:35:19Z,,0,0,0,0,1
26417,2023-03-17T16:54:47Z,2023-03-17T16:54:59Z,,,2023-03-17T16:55:01Z,,0,0,0,0,1
26418,2023-03-17T16:57:07Z,2023-03-20T14:13:35Z,2023-03-17T16:57:07Z,,2023-03-20T14:06:34Z,2023-03-20T14:13:35Z,1,0,0,1,0
26419,2023-03-17T18:14:27Z,2023-03-28T23:27:24Z,,,2023-04-03T07:14:58Z,2023-03-29T07:53:47Z,2,1,0,2,1
26420,2023-03-17T18:29:42Z,2023-03-17T18:29:46Z,2023-03-17T18:29:42Z,,2023-04-02T13:07:53Z,2023-03-17T19:46:11Z,7,2,0,7,3
26421,2023-03-17T19:01:05Z,,2023-03-17T19:01:05Z,,2023-03-17T19:16:55Z,,0,0,0,0,0
26422,2023-03-17T19:18:24Z,2023-03-17T19:48:31Z,2023-03-17T19:18:24Z,,2023-03-17T20:04:21Z,2023-03-17T19:48:31Z,1,0,0,0,1
26423,2023-03-18T20:06:54Z,2023-03-18T20:15:04Z,2023-03-18T20:06:54Z,,2023-03-18T20:22:21Z,,0,0,0,0,1
26424,2023-03-18T20:40:21Z,2023-03-18T20:56:50Z,2023-03-18T20:40:21Z,,,,0,0,0,2,1
26425,2023-03-18T21:17:23Z,2023-03-18T21:17:28Z,2023-03-18T21:17:23Z,,2023-03-19T11:41:27Z,,0,0,0,0,9
26426,2023-03-18T22:47:59Z,,,,,,0,0,0,0,0
26427,2023-03-19T01:33:08Z,2023-03-19T01:37:05Z,2023-03-19T01:33:08Z,,2023-03-20T16:35:11Z,2023-03-20T16:34:49Z,0,1,0,1,1
26428,2023-03-19T06:49:34Z,2023-03-19T11:07:00Z,,,,,0,0,0,1,3
26429,2023-03-19T13:34:41Z,2023-03-20T02:23:29Z,,,2023-04-08T17:28:48Z,2023-04-08T17:29:46Z,0,0,1,1,6
26431,2023-03-19T23:44:58Z,2023-03-19T23:49:28Z,2023-03-19T23:44:58Z,,2023-03-21T11:10:50Z,2023-03-20T18:45:01Z,2,1,0,2,1
26432,2023-03-20T02:56:48Z,2023-03-20T03:01:07Z,,,2023-03-20T04:08:05Z,,0,0,0,1,0
26433,2023-03-20T03:50:30Z,2023-03-20T03:54:51Z,2023-03-20T03:50:30Z,,2023-03-21T00:56:15Z,2023-03-21T00:08:02Z,0,1,0,1,1
26434,2023-03-20T05:07:35Z,2023-03-20T05:11:27Z,2023-03-20T05:07:35Z,,2023-03-27T03:48:37Z,,0,0,0,0,1
26435,2023-03-20T13:41:57Z,2023-03-20T13:48:24Z,2023-03-20T13:41:57Z,,2023-03-22T11:52:14Z,,0,0,0,0,1
26436,2023-03-20T13:44:16Z,2023-03-20T13:44:23Z,2023-03-20T13:44:16Z,,,,0,0,0,0,3
26437,2023-03-20T14:13:15Z,2023-03-20T14:17:13Z,2023-03-20T14:13:15Z,,2023-03-22T17:54:37Z,,0,0,0,0,1
26438,2023-03-20T15:07:56Z,2023-03-20T15:12:47Z,2023-03-20T15:07:56Z,,,2023-03-20T20:42:51Z,0,1,0,2,1
26439,2023-03-20T16:02:10Z,2023-03-20T16:11:20Z,2023-03-20T16:02:10Z,,,,0,0,0,0,1
26440,2023-03-20T16:19:28Z,2023-03-20T16:24:23Z,2023-03-20T16:19:28Z,,2023-03-22T12:01:29Z,2023-03-20T17:28:54Z,0,1,0,0,1
26441,2023-03-20T16:30:26Z,2023-03-20T16:35:24Z,2023-03-20T16:30:26Z,,2023-03-20T17:02:38Z,,0,0,0,0,1
26442,2023-03-20T16:51:28Z,2023-03-20T16:56:28Z,2023-03-20T16:51:28Z,,2023-03-24T18:08:42Z,2023-03-20T17:16:16Z,8,0,3,8,1
26443,2023-03-20T17:47:55Z,2023-03-20T17:55:27Z,,,,2023-03-20T17:55:27Z,3,0,3,3,0
26445,2023-03-20T21:58:37Z,2023-03-20T22:02:23Z,2023-03-20T21:58:37Z,,2023-03-21T02:07:54Z,,0,0,0,0,1
26446,2023-03-20T22:25:28Z,2023-03-21T19:33:04Z,2023-03-20T22:25:28Z,,,2023-03-21T22:59:58Z,12,0,1,8,1
26447,2023-03-21T11:31:41Z,2023-03-21T16:17:31Z,,,2023-03-22T09:10:20Z,2023-03-22T09:10:20Z,0,1,0,1,1
26448,2023-03-21T15:20:54Z,2023-03-21T15:24:42Z,2023-03-21T15:20:54Z,,2023-03-21T16:18:21Z,,0,0,0,0,1
26449,2023-03-21T16:00:48Z,2023-03-21T16:05:40Z,2023-03-21T16:00:48Z,,,,0,0,0,0,1
26450,2023-03-21T23:21:17Z,2023-03-21T23:25:03Z,2023-03-21T23:21:16Z,,2023-03-25T02:17:39Z,,0,0,0,0,1
26451,2023-03-21T23:35:20Z,2023-03-21T23:39:23Z,2023-03-21T23:35:20Z,,2023-03-23T17:36:47Z,,0,0,0,0,1
26452,2023-03-22T01:18:41Z,2023-03-22T01:23:13Z,2023-03-22T01:18:41Z,,2023-03-22T01:39:06Z,,0,0,0,0,1
26453,2023-03-22T04:13:08Z,2023-03-22T04:17:31Z,2023-03-22T04:13:08Z,,2023-03-22T17:33:03Z,,0,0,0,0,1
26454,2023-03-22T06:01:03Z,,,,2023-03-22T09:10:26Z,,0,0,0,0,0
26455,2023-03-22T06:55:13Z,2023-03-22T06:59:49Z,2023-03-22T06:55:13Z,,2023-03-22T11:56:18Z,,0,0,0,0,1
26456,2023-03-22T09:18:58Z,2023-03-22T09:23:23Z,2023-03-22T09:18:58Z,,2023-03-22T11:55:06Z,2023-03-22T11:54:12Z,0,0,1,0,1
26457,2023-03-22T12:32:40Z,2023-03-22T12:36:42Z,2023-03-22T12:32:40Z,,2023-03-22T17:12:42Z,,0,0,0,0,1
26458,2023-03-22T12:38:17Z,2023-03-22T12:43:05Z,2023-03-22T12:38:17Z,,2023-03-22T12:56:21Z,2023-03-22T12:55:54Z,0,0,1,0,1
26459,2023-03-22T14:52:16Z,,2023-03-22T14:52:16Z,,2023-03-22T15:20:11Z,,0,0,0,0,0
26460,2023-03-22T14:55:39Z,,,,,,0,0,0,0,0
26461,2023-03-22T15:29:13Z,2023-03-22T15:34:35Z,2023-03-22T15:29:13Z,,2023-03-22T15:39:52Z,,0,0,0,0,1
26462,2023-03-22T18:12:35Z,2023-03-28T19:50:08Z,,,2023-03-28T20:47:28Z,,0,0,0,0,1
26463,2023-03-22T20:56:49Z,2023-03-23T11:32:50Z,,,,,0,0,0,1,1
26464,2023-03-23T01:08:27Z,2023-03-23T01:13:35Z,2023-03-23T01:08:27Z,,,2023-03-23T01:24:34Z,1,0,0,1,1
26465,2023-03-23T07:36:11Z,2023-04-03T10:52:16Z,,,,2023-04-03T10:52:16Z,1,0,0,1,0
26466,2023-03-23T17:16:25Z,2023-03-23T17:54:42Z,,,2023-03-23T17:54:42Z,2023-03-23T17:54:42Z,0,0,1,0,0
26467,2023-03-24T06:44:15Z,2023-03-24T07:11:34Z,,,2023-03-24T07:11:34Z,2023-03-24T07:11:34Z,1,0,0,1,0
26468,2023-03-24T15:46:35Z,2023-03-24T15:51:56Z,2023-03-24T15:46:35Z,,2023-03-25T19:24:00Z,,0,0,0,0,1
26469,2023-03-24T18:43:49Z,,2023-03-24T18:43:49Z,,2023-03-24T18:45:28Z,,0,0,0,0,0
26470,2023-03-24T19:01:05Z,,2023-03-24T19:01:05Z,,2023-03-24T19:45:27Z,,0,0,0,0,0
26471,2023-03-24T23:32:55Z,,,,,,0,0,0,0,0
26472,2023-03-24T23:55:45Z,,2023-03-24T23:55:45Z,,2023-03-25T03:44:58Z,,0,0,0,0,0
26473,2023-03-24T23:58:34Z,2023-03-25T00:00:44Z,2023-03-24T23:58:34Z,,2023-03-25T00:05:24Z,2023-03-25T16:54:59Z,1,0,0,0,1
26474,2023-03-25T00:13:28Z,2023-03-25T00:20:27Z,2023-03-25T00:13:28Z,,2023-03-30T21:05:04Z,2023-03-28T07:49:05Z,1,0,0,0,9
26475,2023-03-25T06:34:35Z,2023-03-25T06:34:40Z,2023-03-25T06:34:35Z,,2023-03-25T06:53:14Z,,0,0,0,0,1
26476,2023-03-25T06:55:05Z,2023-03-25T06:59:31Z,2023-03-25T06:55:05Z,,,,0,0,0,0,1
26477,2023-03-25T08:55:38Z,,,,,,0,0,0,0,0
26478,2023-03-25T11:39:14Z,2023-03-25T11:43:04Z,2023-03-25T11:39:14Z,,2023-03-29T16:27:55Z,,0,0,0,0,2
